Region,Subregion,country,2015,2016,2017,2018,2019,2020
Asia,Southern Asia,Afghanistan,3367,2318,2424,2474,,
Europe,Southern Europe,Albania,64,79,58,66,65,61
Africa,Northern Africa,Algeria,542,,,,571,580
Oceania,Polynesia,American Samoa,4,3,,,0,
Europe,Southern Europe,Andorra,0,,,,,2
Africa,Sub-Saharan Africa,Angola,,,,,,
Americas,Latin America and the Caribbean,Anguilla,,,,,,
Americas,Latin America and the Caribbean,Antigua and Barbuda,,,,,3,
Americas,Latin America and the Caribbean,Argentina,2837,2625,2317,2387,2303,
Asia,Western Asia,Armenia,75,87,70,50,73,52
Americas,Latin America and the Caribbean,Aruba,,,,,,
Oceania,Australia and New Zealand,Australia,236,227,208,221,225,221
Europe,Western Europe,Austria,46,54,70,86,77,65
Asia,Western Asia,Azerbaijan,225,208,201,219,183,230
Americas,Latin America and the Caribbean,Bahamas,146,111,122,91,95,73
Asia,Western Asia,Bahrain,8,10,5,6,2,
Asia,Southern Asia,Bangladesh,4035,3591,3549,3830,,
Americas,Latin America and the Caribbean,Barbados,31,22,30,28,48,
Europe,Eastern Europe,Belarus,326,307,240,226,225,
Europe,Western Europe,Belgium,,,,,,
Americas,Latin America and the Caribbean,Belize,119,138,142,143,134,102
Americas,Northern America,Bermuda,4,8,5,,0,
Asia,Southern Asia,Bhutan,12,9,13,9,8,19
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),671,599,717,544,806,
Europe,Southern Europe,Bosnia and Herzegovina,57,45,42,39,39,
Africa,Sub-Saharan Africa,Botswana,,,,,,
Americas,Latin America and the Caribbean,Brazil,58138,61143,63748,55914,44033,43879
Americas,Latin America and the Caribbean,British Virgin Islands,,,,,,
Asia,South-eastern Asia,Brunei Darussalam,,,,,,
Europe,Eastern Europe,Bulgaria,126,79,103,92,83,69
Africa,Sub-Saharan Africa,Burkina Faso,117,209,240,,,
Africa,Sub-Saharan Africa,Burundi,461,635,,,,
Africa,Sub-Saharan Africa,Cabo Verde,46,62,38,37,34,36
Asia,South-eastern Asia,Cambodia,,,,,,
Africa,Sub-Saharan Africa,Cameroon,269,276,,,,
Americas,Northern America,Canada,610,612,660,651,687,743
Americas,Latin America and the Caribbean,Cayman Islands,,,,,,
Europe,Northern Europe,Channel Islands,,,,,,
Americas,Latin America and the Caribbean,Chile,610,620,779,825,744,
Asia,Eastern Asia,China,0,8634,7990,7525,,
Asia,Eastern Asia,China Macao SAR,1,1,2,2,2,2
Asia,Eastern Asia,"China, Hong Kong SAR",22,28,24,48,24,22
Asia,Eastern Asia,"China, Taiwan Province of China",192,,,,,
Americas,Latin America and the Caribbean,Colombia,12782,12402,12237,12586,12080,11520
Oceania,Polynesia,Cook Islands,,,,,,
Americas,Latin America and the Caribbean,Costa Rica,557,578,603,563,563,570
Europe,Southern Europe,Croatia,37,44,46,24,33,39
Americas,Latin America and the Caribbean,Cuba,619,572,,,,
Americas,Latin America and the Caribbean,Curaçao,,,,,,
Asia,Western Asia,Cyprus,15,13,7,15,15,15
Europe,Eastern Europe,Czechia,88,65,66,,97,77
Europe,Northern Europe,Denmark,62,56,71,58,66,55
